carrier,serving_cellset,count
46000,38950-49/39148-196,3
46000,38950-47/39148-196,4
46000,38950-45/39148-303,1
46000,38950-45,9
46000,38950-45/39148-299,2
46000,38400-89/39148-299,1
46000,39148-78/39148-299,1
46000,39148-78/38950-44,1
46000,38950-42/38950-44,1
46000,38950-42,1
46000,38950-42/39148-76,5
46000,38950-42/39148-76/39148-76,1
46000,38950-41/39148-76/39148-76,1
46000,38950-41/39148-203,1
46000,38950-41/38950-39,1
46000,39292-197/38950-39,1
46000,38400-294/38950-39,2
46000,39148-198/38950-39,6
46000,38950-39/38950-39,2
46000,38950-39,2
46000,38950-39/39148-198,2
46000,39148-198/39148-198,2
46000,39148-198,3
46000,39148-273/38950-39,2
46000,39148-273,7
46000,39148-273/38950-38,8
